City,State,Station ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
GREENSBURG,KS,USC00143239,31.1,34.7,43.3,53.3,63.7,73.3,79,77.4,68.3,55.7,42.3,31.6
HAYS 1 S,KS,USC00143527,29.2,33,42.7,53.2,63.3,73.7,79.1,77.4,68.3,55.3,41.4,30.6
HAYSVILLE 3SE,KS,USC00143545,32.1,36.9,45.9,55.9,65.7,75.4,79.8,78.8,70.5,58,45.3,33.3
HEALY,KS,USC00143554,30.1,33.7,42.5,51.9,62.1,72.5,78.1,76.3,67.2,54.6,41.4,31.1
HERINGTON,KS,USC00143594,28.4,33.2,43.3,53.6,63.8,73.4,78.9,77.5,68.3,55.8,42.5,30.5
HIAWATHA 9 ESE,KS,USC00143634,25.8,30.1,40.9,53.1,63.4,72.7,77.2,75.3,66.7,55,40.9,28.3
HILL CITY 1E,KS,USC00143665,29,32.1,41.2,51.3,61.6,72,78.2,76.1,66.6,53.5,40.1,29.7
HILLSDALE LAKE,KS,USC00143686,29.4,34,44.9,54.9,64.4,73.3,78.1,77.4,68.6,56.7,44.2,32.4
HOLTON,KS,USC00143759,26.2,31.3,41.1,52.2,62.4,71.7,76.6,75.2,66.3,54.1,41.2,28.3
HORTON,KS,USC00143810,27.4,32.2,42.8,54.1,64,73,77.7,76.2,67.6,55.4,42,29.5
HOWARD 1W,KS,USC00143822,31.6,36.4,45.5,56,65.6,74.2,79.4,78.6,69.9,57.8,45.3,33.6
HOXIE,KS,USC00143837,28.3,31.3,39.9,49.9,60.4,70.6,76.3,74.4,65.3,52.5,39.1,29
HUDSON,KS,USC00143847,33.1,37.4,46.5,56.4,66.1,75.8,81,79.7,71,58.5,45.1,34.2
HUGOTON,KS,USC00143855,33.3,36.7,44.5,54.1,64.1,73.4,78.5,76.8,68.6,56.1,43.5,33.5
HUMBOLDT,KS,USC00143867,31,36.2,45,54.9,64.8,73.6,78.7,77.8,68.9,57.1,45.5,33.6
HUTCHINSON,KS,USC00143929,30.3,35,44.2,53.9,64.2,73.8,78.9,77.4,68.7,56.4,43,31.6
HUTCHINSON 10 SW,KS,USC00143930,30.6,34.7,44.1,53.6,64.2,74.3,79.5,78.3,69.1,56.3,43.3,32.1
INDEPENDENCE,KS,USC00143954,33.4,38,47.1,57.1,66.4,75,80.1,79.5,70.7,59.1,47.4,35.4
IOLA 1 W,KS,USC00143984,30.5,35.4,44.9,55.2,65.2,74,78.8,77.5,68.7,57.6,45.2,32.9
JETMORE 8NNW,KS,USC00144087,30.1,33.6,42.5,52.1,62.6,72.6,78.7,77,67.9,55.2,41.3,31.4
JOHN REDMOND LAKE,KS,USC00144104,29.2,33.9,44.3,54.6,64.4,73.1,78.2,77.2,68.4,56.5,44.3,32
JOHNSON,KS,USC00144114,33.3,36.2,44.3,52.9,63.6,73.3,78.3,76.6,68.4,55.9,43.6,33.3
KANOPOLIS LAKE,KS,USC00144178,29.9,33.5,43,52.7,63.1,73.3,78.8,77.2,68,56,42.6,31.3
KINGMAN,KS,USC00144313,31.7,36,44.9,54.9,65.3,75.1,80.7,79.4,69.9,57.2,44,32.6
KINSLEY 2E,KS,USC00144333,31.6,35.8,44.8,54.8,64.2,74.1,79.6,78.5,69.6,57,44.1,33
KIRWIN DAM,KS,USC00144357,26.9,30.9,40.7,51.4,61.7,72.4,78,75.8,65.6,53,38.7,28.5
LAKIN,KS,USC00144464,31.7,35.2,43.5,53.1,63.4,73.3,79,77.2,68.5,55.8,42.4,32.4
LARNED,KS,USC00144530,31.4,35.3,44.2,53.5,63.8,73.7,78.8,77.6,69,56.4,43.2,32.6
Lawrence,KS,USC00144559,28.4,33.1,43.2,53.6,64.3,73.4,78.5,77,68,56.4,43.2,31
LEAVENWORTH,KS,USC00144588,29.2,34.1,44.2,55.1,65.3,74.1,79.2,77.4,68.2,56.9,43.5,31.8
LEOTI,KS,USC00144665,29.5,32.7,41.1,49.9,60.6,70.8,76.4,74.6,65.6,52.6,39.8,30.3
LIBERAL,KS,USC00144695,34.1,37.3,45.4,54.7,64.7,74.1,79.3,78.2,69.6,57,44.1,34.3
LINCOLN 1 SE,KS,USC00144712,28,32.3,41.9,52.2,63.1,73.9,79.7,77.7,68.3,55.3,41.2,29.6
LOVEWELL DAM,KS,USC00144857,26.5,30.2,40.8,51.4,62,72,77.5,75.5,66.4,53.8,40.3,28.3
Manhattan,KS,USC00144972,29.1,33.9,43.6,54.5,65.2,74.6,79.9,78,68.8,56.5,43.1,31.2
MANKATO,KS,USC00144982,25.7,30.2,40,51.4,62.1,72.5,78.4,75.7,66.6,53.6,39.8,27.6
MARION RSVR,KS,USC00145039,29.6,33.9,44,54,64.5,74.2,79.7,78.2,68.9,56.6,43.4,31.6
MARYSVILLE,KS,USC00145063,26.6,31.4,42.3,53.2,63.6,73.3,78.4,76.6,67.4,54.9,41.5,29.3
MC DONALD,KS,USC00145127,29,32.2,40.1,49.1,59.4,70.1,76.2,74.3,65.3,52.6,39.4,29.6
MCPHERSON,KS,USC00145152,29.9,34.4,43.8,53.8,64.3,74.3,79.8,78.4,69.4,56.6,43.3,31.7
MEADE,KS,USC00145171,33.6,36.4,45,54.8,65,74.8,80.6,79.4,70.5,57.3,44,34.2
MEDICINE LODGE,KS,USC00145173,34.6,39.1,48.1,57.9,67.2,76.5,80.9,80.1,71.3,59,45.9,34.9
MELVERN LAKE,KS,USC00145210,29.4,34.1,44.1,54.3,64.2,73.3,78.2,77.4,68.4,56.8,44.3,32.1
MILFORD LAKE,KS,USC00145306,28.8,33.1,43.6,53.9,63.8,73.3,78.8,77.3,68.5,56.2,43.2,31.2
MINNEAPOLIS,KS,USC00145363,29.2,33.9,43.7,54.1,64.1,74.1,79.9,78,68.8,56.2,42.3,30.5
MONTEZUMA,KS,USC00145421,31.4,34.5,43.3,52.9,63.2,72.1,78.8,76.7,68,55.8,41.9,31.8
MOUND CITY,KS,USC00145528,29.8,34.4,44.2,54.2,63.7,72.9,77.8,76.6,67.4,56.2,44.1,32.4
MOUND VALLEY 3 WSW,KS,USC00145536,31.5,36.4,45.8,55.5,65.5,74.3,79.3,78.5,69.4,57.5,45.7,33.9
NESS CITY,KS,USC00145692,29.6,33.3,42.5,52.2,62.7,73.1,78.7,76.9,67.7,54.6,41.2,30.9
NEWTON,KS,USC00145744,30.3,35.1,44.3,54.5,65,75,80.5,79.1,69.9,57.1,43.8,32
NORTON DAM,KS,USC00145852,27.4,30.8,39.8,50.4,61.1,71.6,77.7,75.7,65.9,52.7,39.1,28.2
NORTON 9SSE,KS,USC00145856,28.8,32.4,41.2,51.3,61.4,71.7,77.8,76.1,66.9,54.3,40.7,29.9
NORWICH,KS,USC00145870,32.6,37.1,45.5,55.6,66,75.4,81,79.9,71.3,58.7,45.4,33.7
OAKLEY 4W,KS,USC00145888,28.8,32,40.1,49.4,59.4,70.3,76.2,74.4,65.2,52.5,39.3,29.7
OBERLIN,KS,USC00145906,28.2,31.3,40,49.8,60.1,70.9,76.7,74.8,65,51.9,38.5,28.5
OLATHE 3E,KS,USC00145972,29.3,33.8,43.7,54.2,64.6,73.4,78.4,76.9,68.3,57,44,31.8
OSKALOOSA 4 NE,KS,USC00146100,27,32,41.8,52.7,63.5,72.3,77.7,76,66.9,54.7,41.7,29.3
OTTAWA,KS,USC00146128,29.5,34.2,44.1,54.4,64.6,73.6,78.7,77.2,68.3,56.8,43.8,31.8
PAOLA,KS,USC00146209,29.3,34.2,44.1,54.7,64.9,73.9,78.6,77.1,68.3,56.6,44.1,31.7
PARSONS 2 NW,KS,USC00146242,31.9,36.8,46.1,55.8,65.3,74.2,79.3,78.5,69.4,57.6,46,34.4
PERRY LAKE,KS,USC00146333,27.1,31.8,42.5,53,62.8,71.9,77,75.8,66.6,55,42.3,29.9
PHILLIPSBURG 1 SSE,KS,USC00146374,27.5,31.8,41.8,52.3,62.4,73.5,78.9,77,67.4,54.4,41,29.3
PHILLIPSBURG #2,KS,USC00146378,29,31.9,41.5,51.3,62.6,73.3,79.9,77.4,67.9,54.3,41.1,29.1
PLAINVILLE 4WNW,KS,USC00146435,28.3,31.7,41,51.1,61.3,71.6,77.5,76.1,66.9,53.9,40.6,29.4
POMONA LAKE,KS,USC00146498,29.2,33.1,43.5,54,64.3,73.5,78.6,77.4,68.3,56.3,43.7,31.8
PRATT,KS,USC00146549,31.1,35.7,44,54,64.4,74.1,79.3,78.2,69.1,56.7,43.3,32.1
QUINTER,KS,USC00146637,29.4,32.7,41.4,51.1,61.4,71.7,77.4,75.7,66.5,53.6,40.5,30.2
RICHFIELD,KS,USC00146808,31.1,34.7,42.8,52.2,63.1,72.8,78.2,76.2,67.6,54.7,42.2,31.6
RUSSELL 1E,KS,USC00147042,30,32.3,41.7,51.7,63.3,73.9,79.5,77.1,68.9,55.1,41.6,30.7
RUSSELL SPRINGS,KS,USC00147049,28.9,32,40.5,50.6,60.5,71.8,77.2,75.6,66.1,52.8,39,29.2
RUSSELL SPRINGS 3N,KS,USC00147050,29.4,32.5,41.1,50.4,60.8,71.2,77.4,75.3,66.4,53.4,39.5,29.4
SAINT FRANCIS,KS,USC00147093,29.3,32.4,40.6,49.5,59.8,70.6,76.6,74.6,65,52,39.4,29.9
SCOTT CITY,KS,USC00147271,29.1,32.8,41.3,50.8,61.4,71.9,77.3,75.5,66.5,53.5,40.1,30.1
SEDAN,KS,USC00147305,33.5,38,47.2,57.1,66.1,74.8,80.3,79.9,70.7,58.9,47.3,35.5
SHARON SPRINGS,KS,USC00147397,30,32.9,41.1,50.5,60.7,71.5,77.1,75.2,66.1,53,39.7,30.5
SMILEYBERG 1N,KS,USC00147534,31.6,36.2,45,55.2,65.6,74.1,79.6,78.5,69.9,57.6,44.3,33.5
SMITH CTR,KS,USC00147542,27.7,32,41.6,52.5,63.7,74,79.7,77.2,68.2,54.8,40.4,28.8
SMOLAN 1NE,KS,USC00147551,29.6,33.5,43.3,53,63.2,74.5,80.2,78,68.4,56.6,42.8,31.3
STERLING,KS,USC00147796,30.7,34.6,43.7,54,64.9,75.1,80.4,78.8,69.6,56.6,43.3,31.9
SUBLETTE 7WSW,KS,USC00147922,34.1,37.7,45.9,54.6,64.7,74.5,79.6,78.2,69.7,57.8,44.8,35
SYRACUSE 1NE,KS,USC00148038,31.3,35.6,44.3,53.4,63.7,73.9,79.2,77.4,68.6,55.5,42.4,32.4
TALLGRASS PRAIRIE NP,KS,USC00148061,29.1,33.8,43.4,54,64.5,73.2,78.8,77.9,68.6,56.3,43.6,31.5
TORONTO LAKE,KS,USC00148191,31.2,35.9,45.7,55.9,65,74,79,78.2,69.8,57.4,45.6,33.8
TRIBUNE 1W,KS,USC00148235,30.1,33.5,41.6,50.3,60.7,71.1,76.7,74.9,66.1,53,40.3,30.9
TRIBUNE 13NNE,KS,USC00148240,30.1,33.2,41.3,50.1,59.8,71,76.3,74.7,65.6,52.6,40.4,30.8
TROY 3N,KS,USC00148250,26.4,31,41.8,52.9,63.5,72.5,77.1,75.1,66.9,55.5,41.9,29
TUTTLE CREEK LAKE,KS,USC00148259,27.4,31.8,42.5,53.1,63.2,72.6,78,76.5,67.3,54.9,41.9,29.7
ULYSSES 3NE,KS,USC00148287,30.7,34.5,42.6,52.2,62.4,72.5,77.7,76.2,67.3,54.5,41.4,31.5
WAKEENEY,KS,USC00148495,30.3,33.9,42.9,52.7,63.1,73.5,79.3,77.4,68.1,55.3,41.9,31.2
WALLACE,KS,USC00148535,30.7,34.6,42.7,50.7,60.5,71.8,77.1,75.4,66.8,55.1,42.1,32.3
WAMEGO 4 W,KS,USC00148563,27.9,32.5,42.4,53.4,63.9,72.7,78.1,76.4,67.4,55.4,42.2,30.2
WASHINGTON,KS,USC00148578,26.8,31.3,41.8,52.7,63.7,73.4,78.9,76.5,67.5,55.1,40.8,28.7
WEBSTER DAM,KS,USC00148648,29.9,33.5,43.3,53.2,62.6,72.9,78.7,77,67.6,55.2,41.6,31.2
WELLINGTON,KS,USC00148670,32.5,36.8,46.3,55.4,65.4,75.1,80.7,79.9,70.7,58.5,45.9,34.3
WILMORE 16SE,KS,USC00148914,31.2,35.5,44.2,54.8,64.8,74.6,80.1,78.7,69.6,56.2,43,32.2
WILSON LAKE,KS,USC00148946,30.2,33.7,43.5,53.2,63.8,73.8,79.7,77.9,68.7,56.1,42.9,31.8
WINFIELD 3NE,KS,USC00148964,31.2,36.1,45,55.1,65.1,73.8,79.5,78.3,69.5,57.3,44.8,33.2
WINONA,KS,USC00148988,30.4,33.7,41.5,50.6,60.6,70.9,77,75,66.1,53.7,40.2,30.7
YATES CTR,KS,USC00149080,30.5,35.2,44.4,54.3,64.2,73,78.1,77.2,68.6,57.1,44.8,32.9
ASHLAND,KY,USC00150254,30.5,33.8,42.5,53.1,62,71,74.6,73.1,65.8,54.2,43.7,33.9
BARBOURVILLE,KY,USC00150381,33.8,37.9,45.4,54.3,63,71.5,75,74.2,67.3,56,46,36.6
BARDSTOWN 5E,KY,USC00150397,34.1,38.3,46.9,56.7,65.1,72.9,76.4,75.5,68.9,57.8,47.3,37
BARDWELL 2 E,KY,USC00150402,35,39.5,48.9,58.2,67.1,75.5,79,77.6,70,59,48,37.7
BARREN RIVER LAKE,KY,USC00150422,36.4,40.1,48.6,58.4,67.4,75.8,79.6,78.5,71.5,60.5,50,39.4
BAXTER,KY,USC00150450,35,38.3,45.7,54.8,63.4,71.4,74.9,74.2,67.5,56.7,46.8,37.8
BEATTYVILLE 4N,KY,USC00150483,32.8,36.1,45.3,55.4,63.2,71.3,75.1,74,67.4,55.8,47,36
BEAVER DAM,KY,USC00150490,33.2,37.1,46.5,56.9,65.1,73.8,77.1,76.3,68.8,57.6,47.5,36.4
BEREA COLLEGE,KY,USC00150619,36.5,40.6,48.8,58.9,66.5,74.3,77.1,76.2,69.7,59.1,49.4,39.2
BERNHEIM FOREST,KY,USC00150630,34.9,39,47.5,57.4,65.8,73.5,77.4,76.5,69.6,58.8,48.5,37.9
BOONEVILLE 1 SE,KY,USC00150858,33.4,36.8,44,53.9,62.9,71.2,74.8,74.1,67.1,55.7,45.6,36.6
BOONEVILLE 12SW,KY,USC00150860,33.2,36.4,43.5,53.3,62.7,70.8,74.4,73.2,66.2,55.2,45.3,35.8
BRADFORDSVILLE,KY,USC00150940,33.5,37.2,45.1,54.7,63.9,72.5,76.4,75.1,67.9,56.6,46.5,36.5
BRANDENBURG,KY,USC00150955,32.5,36.3,45,55.2,64,72.2,75.1,74.8,67.7,55.9,45.8,35.1
BUCKHORN LAKE,KY,USC00151080,33.6,37.6,44.5,55,64,71.8,75.6,74.4,67.9,56.6,46,37
CALHOUN LOCK 2,KY,USC00151227,33,37.4,46.6,56.7,66.3,74.3,77.6,76.7,69.4,58.3,47.4,36.3
CARR FORK LAKE,KY,USC00151318,33.9,37.3,44.7,54.4,63.2,71.2,75.1,74.3,67.5,55.9,46.4,37.6
CARROLLTON LOCK 1,KY,USC00151345,33.5,37.3,45.9,56.2,64.8,72.4,76,75.2,68.9,57.9,47.6,36.5
CHARLEY 2 SW,KY,USC00151517,31.9,34.8,42.6,52.8,62.3,70.5,74.1,72.7,65.4,54.3,44,35.3
CORNERS,KY,USC00151810,32.4,34.7,43.6,53.6,63.6,71.4,75.6,73.9,67.1,56.1,45.3,34.9
CRAB ORCHARD 6 N,KY,USC00151890,35.4,39.1,47.5,56.9,64.6,72.3,75.3,74.5,67.9,57.8,48.2,38.3
CRESSY,KY,USC00151895,33.2,35.7,44.5,53.7,62.8,71.4,74.8,73.5,67,55.1,45.8,35.8
CRESTWOOD 4NE,KY,USC00151900,30.8,35.4,44,54.7,64.4,72.9,76.2,75,67.3,55.6,44.7,34.3
CYNTHIANA,KY,USC00151998,31.6,35.2,43.5,53.7,63.1,71.9,75.6,74.6,67.3,55.6,45.1,35
DANVILLE,KY,USC00152040,32.9,36.5,45,55.1,64,72.5,76.1,75.1,68.2,56.9,45.9,35.9
DIX DAM,KY,USC00152214,32.3,35.9,43.8,54.2,63.9,72.4,76.3,75.2,68.3,56.8,46.2,35.8
EASTERN KENTUCKY UNIV,KY,USC00152409,31.4,35.1,44,53.9,62.9,71.2,75,73.5,66.8,55.8,45.4,35
EDDYVILLE 5S,KY,USC00152442,36.8,40.4,49.6,59.6,67.6,76.3,80,79.3,72,61.4,50.9,39.9
ELIZABETHTOWN WP CS,KY,USC00152512,32.1,36.6,44.8,54.9,63.5,72,75.6,74.7,67.7,56.3,45.8,35.6
ETOILE,KY,USC00152575,34.8,39,46.9,56.8,65.1,74.3,76.8,76.9,69.6,60.2,47.6,37.9
FALMOUTH,KY,USC00152775,30.4,34.6,42.6,52.6,62,71.1,75.4,74.1,67.2,55.1,44.7,34.4
CAVE RUN  LAKE,KY,USC00152791,33.9,37.2,45.6,55.9,64.5,72.8,76.6,75.6,68.6,57.5,47.5,37.3
FRANKFORT DOWNTOWN,KY,USC00153028,31.7,35.3,43.5,53.5,62.7,71.5,75.5,74.6,67.5,56.2,45.6,35.4
GILBERTSVILLE KY DAM,KY,USC00153223,37.1,41.6,50.7,59.9,69.3,77.9,81.4,80.4,72.9,61.7,50.7,39.6
GIMLET 9N,KY,USC00153230,31.1,34,43,54.8,63.8,72.3,76,74.1,67,56.1,45.4,34.8
GLASGOW,KY,USC00153246,37.2,41.5,49.9,59.3,67.7,75.5,78.9,77.8,71,60,49.8,39.9
GOLDEN POND 8 N,KY,USC00153295,35.3,40,48.8,58.4,66.8,74.8,78.8,77.6,70.8,59.4,48.9,38.2
GRAY HAWK,KY,USC00153382,31.9,35.4,42.4,52.1,60.7,69,73,71.3,65.1,54,44.4,34.7
GRAYSON 2 E,KY,USC00153389,31.8,34.6,42.6,53.1,62.3,71,74.5,73.6,65.8,54.4,44.4,34.9
GRAYSON 3 SW,KY,USC00153391,31.5,34.5,42.3,52.3,61,69.7,73.7,72.8,65,54,44,34.5
GREENSBURG,KY,USC00153430,34.4,38.2,46.4,55.8,64.9,73.6,77.3,76.3,68.9,57.3,47.2,37.4
HARDINSBURG,KY,USC00153604,34.6,39,48.1,58.2,66.8,74.6,77.8,76.9,70.2,59.9,48.8,37.6
HEIDELBERG,KY,USC00153741,33.5,37.3,45.3,54.9,63.1,71.6,75.5,74.6,67.8,56.5,46.6,36.5
HEIDELBERG 2N,KY,USC00153744,32.4,36.5,45.1,54.2,62.6,71.2,74.6,72.8,67.5,56.2,46,36.4
HENDERSON 8 SSW,KY,USC00153762,33.9,38.1,47.2,57.5,66.3,74.3,77.2,76.1,69.5,58.7,47.9,36.4
HODGENVILLE LINCOLN P,KY,USC00153929,34.6,39,47.4,57,64.9,72.7,76.1,75.4,68.8,58.1,47.9,37.3
HOPKINSVILLE,KY,USC00153994,34.2,38.4,47.6,57.3,66.4,74.9,78.8,77.9,70.7,59,48.6,37.5
INEZ 2 E,KY,USC00154138,32.2,34.8,42.6,53,62,70.6,74.7,73.2,66.3,55,44.4,35.7
JAMESTOWN WWTP,KY,USC00154208,33.8,37.1,45.5,54.1,62.9,71.5,75.2,73.8,66.8,56,45.7,36.7
KENLAKE RESORT,KY,USC00154375,34.8,38.9,48.6,58,66.6,75,78.9,78.2,70.9,59.6,48.8,37.7
LEITCHFIELD 2 N,KY,USC00154703,32.1,36,44.3,54.3,62.7,70.8,74.3,73.2,66.3,55.1,45,34.6
LOUISVILLE WFO,KY,USC00154958,32.7,37,45.4,56.3,65,73.5,76.6,76.1,69.2,57.6,47,36
LOVELACEVILLE,KY,USC00154967,36.5,41.2,50.2,59.5,68,76,79.2,77.9,71.1,59.9,49.7,38.8
MADISONVILLE,KY,USC00155067,35.5,39.8,49.2,59.3,67.8,75.6,78.9,78.1,71.1,59.9,49.1,38.1
MAMMOTH CAVE,KY,USC00155097,36.9,41.4,50,59.4,67.1,74.8,78.4,77.4,70.9,60.1,50.1,39.7
MANCHESTER 4 W,KY,USC00155111,33.4,37.3,45.3,54.6,62.5,70.4,74.3,73.3,66.3,55.2,45.6,36.4
MARROWBONE,KY,USC00155165,35.3,39.6,47.6,56.6,65.1,73.1,76.7,75.6,68.7,57.2,47.3,38.3
MAYFIELD RADIO WLLE,KY,USC00155233,36.8,41.3,49.8,59,67.2,75.4,79,78.1,71.2,60.1,49.7,39
MAYSVILLE SEWAGE PLT,KY,USC00155243,31.6,34.7,43,53.4,62.8,71.8,75.7,74.7,68,56.2,45.3,35.2
MCDANIELS,KY,USC00155280,32.7,37.5,45.4,55.9,64.7,72.3,75.8,75.5,68.8,57.4,46.6,36.2
MIDDLESBORO FIRE DEPT,KY,USC00155389,35.1,38.5,46.2,55.3,63.7,72,75.3,74.4,67.8,56.4,47.1,37.6
MONTICELLO 3 NE,KY,USC00155524,34.6,38.1,45.9,55,63.8,72.1,75.7,74.8,68.2,57.2,47.3,37.7
MT STERLING,KY,USC00155640,31.1,34.1,42.6,52.7,61.9,70.5,74.4,73,66.1,54.5,44.2,34
MT VERNON,KY,USC00155648,33.3,36.8,45.3,54.8,63.8,71.8,75.4,74.4,67.6,56.3,46.6,36.6
MURRAY,KY,USC00155694,36.7,41.1,50,59.7,67.8,75.8,79.3,78.6,71.3,60.1,49.5,39.1
NOLIN RIVER LAKE,KY,USC00155834,34.7,38.3,46.5,56.2,65.2,74,77.7,77.1,69.8,58.6,48.4,37.9
OLIVE HILL 5NE,KY,USC00156012,30.2,33.4,40.6,52.1,60.7,69.2,73,71,64.1,52.5,42.8,33.6
ONEIDA,KY,USC00156028,34,37.3,45.1,54.4,63.9,71.8,75.6,74.6,68.2,57,46.4,37.2
Owensboro,KY,USC00156091,36,40.1,48.6,59.3,68.2,76.7,80.3,79,72.1,60.7,49.5,38.9
PADUCAH WALKER BOAT YA,KY,USC00156117,35.6,40,49,59.1,68.4,76.7,80,79.7,72,60.1,49.7,38.5
PAINTSVILLE 1E,KY,USC00156136,33.7,36.7,45.8,55.4,63.7,72,75.9,75.1,67.8,55.8,45.7,36.4
PHIL,KY,USC00156224,34.4,37.8,48,56.2,64.5,72,75.2,74.6,67.8,56.5,47.5,37.5
PRINCETON 1 SE,KY,USC00156580,36.1,40.3,49.5,58.9,67,75.1,78.6,77.9,70.8,59.9,49.5,38.6
PROVIDENCE,KY,USC00156595,33.9,37.8,47.1,57.6,67.3,76.2,79.6,78.3,70.6,59,48,37.1
ROCHESTER FERRY,KY,USC00156882,34.7,38.4,47.6,57.4,66.4,74.7,78.4,77.2,69.8,58.3,48.2,37.7
ROUGH RIVER LAKE,KY,USC00156988,32.7,36.3,45,55.1,64,72.8,76.6,75.8,68.4,56.7,46.6,35.6
RUSSELLVILLE,KY,USC00157049,34.9,38.7,47.1,56.8,65.7,74.5,78.1,76.7,69.4,58.1,48.1,37.9
SCOTTSVILLE,KY,USC00157215,34.9,39.3,47.7,57.2,64.9,72.5,76,75.2,68.9,58.3,48.2,37.8
SHELBYVILLE 1 E,KY,USC00157324,30.4,34.5,42.9,52.8,62.6,71.3,75.3,73.6,65.9,54.5,44.2,33.9
SOMERSET 2 N,KY,USC00157510,34.5,38.2,46.3,55.8,63.8,71.8,75.3,74.2,67.5,56.6,47,37.4
SPOTTSVILLE,KY,USC00157592,33.5,35.9,46.1,56.5,65.5,74.5,78.1,78.3,71.1,59.2,47.8,36.3
STANTON 2W,KY,USC00157652,32.1,35.2,44.6,53.6,62.8,71.1,74.4,73.3,66.5,54.9,45.2,36.2
STEARNS 2S,KY,USC00157677,34,37.3,45.4,53.7,62.3,70.4,74,73,66.1,54.6,45.3,36.2
SUMMER SHADE,KY,USC00157800,34.6,38.8,47.1,56.1,64.4,72.2,75.5,74.5,67.8,57.2,47.1,37.2
WARNOCK2,KY,USC00158432,30.7,33.9,41.7,52.1,60.9,68.7,72.6,71.6,64.9,53.8,43.7,34.4
WARSAW MARKLAND DAM,KY,USC00158446,31.3,34.7,43.2,53.7,62.8,71.4,75.2,74.3,67,55.7,45.2,34.6
WEST LIBERTY 3NW,KY,USC00158551,31.4,34.8,42.9,52.1,61.2,69.7,73.5,72.5,65,53.5,43.8,34.4
WEST LIBERTY 11 NW,KY,USC00158553,31.9,34.5,43.1,53.3,62.5,71.3,74.7,73.3,67,55,45.2,34.6
WEST PADUCAH 2W,KY,USC00158555,33.3,38.3,47.7,57.4,66.5,74.6,78.3,77.1,69.6,58.5,47.7,37.3
WILLIAMSBURG,KY,USC00158709,34.2,37.6,45.7,54.3,63.4,71.5,74.5,72.9,66.3,55.8,46.4,36.9
WILLIAMSTOWN 3 W,KY,USC00158714,32.7,36.8,45.5,56,64.7,72.5,76.2,75.4,69,58.1,47.1,35.9
WOODBURY,KY,USC00158824,33.7,37.9,46.1,55.9,64.6,72.7,76.3,75.4,68.6,56.9,46.5,36.2
Alexandria,LA,USC00160098,48.3,51.9,59.2,66.4,74.6,80.7,83.3,83.2,78.1,68,58.4,50.1
ALEXANDRIA 5 SSE,LA,USC00160103,47.1,50.3,57.5,65.1,73.1,78.9,81.1,81,76.1,66.4,57.1,49.1
AMITE,LA,USC00160205,48.9,52.6,59.5,65.9,73.6,79.3,81.3,81.3,77.1,67.6,58.7,50.8
ASHLAND,LA,USC00160349,45.7,49.5,56.9,63.9,71.9,78.5,81.5,81.5,75.5,65,55.9,47.5
BASTROP,LA,USC00160537,43.7,47.5,55.1,62.8,71.3,78.2,81.1,80.8,74.7,64.1,54.1,45.3
BENTON 5E,LA,USC00160718,44.6,48.6,56.5,64.2,72.4,79.4,82.9,82.8,75.7,64.8,55.2,46.2
BIENVILLE 3 NE,LA,USC00160800,45.8,49.3,56.7,64.1,72.1,78.7,81.7,81.7,75.9,65,55.4,46.9
BOGALUSA,LA,USC00160945,49.3,52.9,59.3,66.2,74,79.9,81.9,81.7,77.3,67.6,58.7,51.3
BOYCE 3 WNW,LA,USC00161232,48.9,52.4,59.2,66.7,74.3,80,82.7,82.7,77.3,67.7,58.3,50.4
BRUSLY 2 W,LA,USC00161246,49.7,53.2,59.9,66.5,74,79.3,81.3,81.2,76.8,67.4,58.8,51.7
BUNKIE,LA,USC00161287,48.9,52.5,59.7,66.8,74.6,80.2,82.4,82.2,76.8,67.7,58.8,50.9
BURAS,LA,USC00161292,53.8,57.8,62.1,68.8,76.1,81.3,82.6,82.8,79.9,72,64.4,56.8
CALHOUN RSCH STN,LA,USC00161411,43.9,47.6,55.2,62.8,71,78,81.2,81.1,74.7,63.7,54.4,45.9
CARVILLE 2 SW,LA,USC00161565,51.6,54.9,61,67.7,75.3,80.5,82.3,82.4,78.4,69.4,60.7,53.6
CLINTON 5 SE,LA,USC00161899,47.9,51.5,58,64.5,72.3,77.9,80.1,80,75.7,66.4,57.6,50.1
COLFAX,LA,USC00161941,46.4,49.7,57.4,65.1,73.8,80,82.3,81.9,76.2,66.2,56.9,48.2
COLUMBIA LOCK,LA,USC00161979,45.4,49,56.4,63.4,72.3,78.7,81.6,81.5,75.5,65,55.8,47.3
COVINGTON 4 NNW,LA,USC00162151,50.3,53.9,59.8,66.1,73.4,78.7,80.8,80.7,76.6,67.7,59,52.3
CROWLEY 2 NE,LA,USC00162212,50.1,53.5,60.5,67.9,75.6,80.8,82.2,82.3,78.2,69.6,60.3,52.4
DE QUINCY,LA,USC00162361,49.2,52.8,58.9,65.9,73.6,79.4,81.2,81.5,76.5,67.4,58.6,51
DE RIDDER,LA,USC00162367,49.3,52.8,60.1,66.6,74.3,80.1,82.2,82.3,77.3,67.9,59,50.9
DONALDSONVILLE 4 SW,LA,USC00162534,51.3,54.5,60.9,67.4,74.9,80.1,82,81.8,77.8,68.8,60.5,53.3
ELIZABETH,LA,USC00162800,48.8,52.5,59.7,66.1,73.8,79.6,82,82,76.9,67.3,58.7,50.6
EUNICE,LA,USC00162981,50.6,54.5,61.5,68.3,76.3,81.7,83.8,83.9,79,69.8,61,52.8
